receiver_player_name,catch_pct,targets,receptions,pass_touchdown_mean,air_yards_max,air_yards_min,avg_airyds,air_yards_std,yards_after_catch_max,yards_after_catch_min,average_yac,yards_after_catch_std,explosive_yac_pct,mid_yac_pct,short_yac_pct,shortyac_std,screen_pct,screen_std,shortrt_pct,intermediatert_pct,deeprt_pct,deepshots_mean,deepshots_std
A.Brown,0.6153846153846154,91,56.0,0.16071428571428573,47.0,-3.0,11.339285714285714,10.598930967901323,52.0,-2.0,8.428571428571429,13.215496610016238,0.10714285714285714,0.17857142857142858,0.7142857142857143,0.45584230583855173,0.03571428571428571,0.18725633517970777,0.48214285714285715,0.4107142857142857,0.125,0.05357142857142857,0.227207782928703
A.Cooper,0.6638655462184874,119,79.0,0.10126582278481013,45.0,-15.0,11.531645569620252,8.631836484986136,68.0,-1.0,3.518987341772152,8.682225815723886,0.02531645569620253,0.08860759493670886,0.8860759493670886,0.3197491714129678,0.012658227848101266,0.1125087900926024,0.5189873417721519,0.3670886075949367,0.12658227848101267,0.012658227848101266,0.1125087900926024
A.Ekeler,0.8518518518518519,108,92.0,0.08695652173913043,36.0,-7.0,0.5760869565217391,6.866439638636371,85.0,0.0,10.217391304347826,11.377465762895426,0.05434782608695652,0.3804347826086957,0.5652173913043478,0.4984447862792268,0.43478260869565216,0.4984447862792269,0.5108695652173914,0.03260869565217391,0.03260869565217391,0.0,0.0
A.Erickson,0.5512820512820513,78,43.0,0.0,40.0,-5.0,6.046511627906977,7.444887950073345,32.0,0.0,6.255813953488372,6.736867377335009,0.023255813953488372,0.2558139534883721,0.7209302325581395,0.4538502687508102,0.046511627906976744,0.21308263231644634,0.813953488372093,0.2558139534883721,0.023255813953488372,0.023255813953488372,0.15249857033260464
A.Hooper,0.7653061224489796,98,75.0,0.08,27.0,-6.0,6.026666666666666,6.495265080692894,39.0,0.0,4.466666666666667,5.534494613840601,0.013333333333333334,0.10666666666666667,0.88,0.3271498540837624,0.10666666666666667,0.3107677212591046,0.6666666666666666,0.24,0.02666666666666667,0.0,0.0
A.Humphries,0.7708333333333334,48,37.0,0.05405405405405406,22.0,-5.0,6.864864864864865,5.921533970565783,11.0,0.0,3.2432432432432434,3.112746245550573,0.0,0.05405405405405406,0.9459459459459459,0.22924343513512566,0.08108108108108109,0.2767247306920301,0.7297297297297297,0.16216216216216217,0.05405405405405406,0.0,0.0
A.Hurns,0.6666666666666666,48,32.0,0.0625,23.0,-9.0,9.375,7.447666878659643,24.0,0.0,3.625,4.8176423091959455,0.03125,0.0625,0.90625,0.29614458108029906,0.09375,0.29614458108029906,0.46875,0.40625,0.0625,0.0,0.0
A.Jeffery,0.581081081081081,74,43.0,0.09302325581395349,33.0,-3.0,8.813953488372093,7.865705592887114,10.0,-4.0,2.5813953488372094,3.274959528208925,0.0,0.046511627906976744,0.9534883720930233,0.21308263231644636,0.13953488372093023,0.35060460356342593,0.3953488372093023,0.4186046511627907,0.046511627906976744,0.0,0.0
A.Jones,0.7205882352941176,68,49.0,0.061224489795918366,30.0,-9.0,0.8367346938775511,7.467560229573841,70.0,-1.0,8.83673469387755,11.021469462628215,0.04081632653061224,0.3469387755102041,0.6122448979591837,0.49228745543179353,0.46938775510204084,0.5042337758225565,0.46938775510204084,0.0,0.061224489795918366,0.0,0.0
A.Kamara,0.8350515463917526,97,81.0,0.012345679012345678,9.0,-8.0,-0.20987654320987653,4.155466428040046,35.0,0.0,6.790123456790123,7.526147835019448,0.04938271604938271,0.2345679012345679,0.7160493827160493,0.45372259975767587,0.4074074074074074,0.49441323247304425,0.5925925925925926,0.0,0.0,0.0,0.0
A.Lazard,0.6730769230769231,52,35.0,0.08571428571428572,41.0,-2.0,9.885714285714286,11.089930325382968,12.0,0.0,3.742857142857143,3.2298502710047168,0.0,0.02857142857142857,0.9714285714285714,0.1690308509457033,0.08571428571428572,0.2840286409986905,0.6285714285714286,0.2,0.14285714285714285,0.02857142857142857,0.1690308509457033
A.Miller,0.611764705882353,85,52.0,0.038461538461538464,32.0,-4.0,8.5,9.230172177775048,16.0,0.0,4.115384615384615,4.1851926005946725,0.0,0.1346153846153846,0.8653846153846154,0.34464225008403493,0.15384615384615385,0.3643213074786544,0.4807692307692308,0.25,0.1346153846153846,0.0,0.0
A.Robinson,0.6363636363636364,154,98.0,0.07142857142857142,32.0,-4.0,8.785714285714286,8.017056559379425,29.0,-2.0,2.9183673469387754,4.6009265525560785,0.01020408163265306,0.07142857142857142,0.9183673469387755,0.27521198531482943,0.11224489795918367,0.31729049622438954,0.5714285714285714,0.2755102040816326,0.08163265306122448,0.0,0.0
A.Tate,0.5063291139240507,79,40.0,0.025,33.0,-3.0,11.175,8.393793494646458,12.0,0.0,3.2,3.92362992583039,0.0,0.1,0.9,0.30382181012510007,0.075,0.2667467828369185,0.375,0.45,0.1,0.0,0.0
A.Thielen,0.625,48,30.0,0.2,27.0,-1.0,10.033333333333333,7.915429425401109,32.0,-1.0,3.9,6.47728125171303,0.03333333333333333,0.06666666666666667,0.9,0.30512857662936466,0.03333333333333333,0.18257418583505536,0.5333333333333333,0.3,0.13333333333333333,0.0,0.0
A.Wilson,0.6935483870967742,62,43.0,0.023255813953488372,20.0,-7.0,4.0,5.765248931147312,28.0,-5.0,4.162790697674419,5.450776408471503,0.023255813953488372,0.06976744186046512,0.9069767441860465,0.29390259873217905,0.23255813953488372,0.4274625743754585,0.6744186046511628,0.11627906976744186,0.0,0.0,0.0
